title,summary,authors,title_summary,keywords
Table manipulation in simplicial databases,"In \cite{Spi}, we developed a category of databases in which the schema of a
database is represented as a simplicial set. Each simplex corresponds to a
table in the database. There, our main concern was to find a categorical
formulation of databases; the simplicial nature of the schemas was to some
degree unexpected and unexploited.
  In the present note, we show how to use this geometric formulation
effectively on a computer. If we think of each simplex as a polygonal tile, we
can imagine assembling custom databases by mixing and matching tiles. Queries
on this database can be performed by drawing paths through the resulting tile
formations, selecting records at the start-point of this path and retrieving
corresponding records at its end-point.",David I. Spivak,"Table manipulation in simplicial databases. In \cite{Spi}, we developed a category of databases in which the schema of a
database is represented as a simplicial set. Each simplex corresponds to a
table in the database. There, our main concern was to find a categorical
formulation of databases; the simplicial nature of the schemas was to some
degree unexpected and unexploited.
  In the present note, we show how to use this geometric formulation
effectively on a computer. If we think of each simplex as a polygonal tile, we
can imagine assembling custom databases by mixing and matching tiles. Queries
on this database can be performed by drawing paths through the resulting tile
formations, selecting records at the start-point of this path and retrieving
corresponding records at its end-point.","Table Manipulation, Database, Spi"
"Discovering new technique for mapping relational database based on
  semantic web technology","Most of data on the Web are still stored in relational databases. Therefore,
it is more important to make the correspondence between relational databases
(RDB) and ontologies for storing the Web data. In this paper, we present an new
approach to map the data stored in relational databases into the Semantic Web,
we exploit simple mappings based on some specifications of the database schema,
and we explain how relational databases can be used to define a mapping
mechanism between relational database and OWL ontology. A framework has been
developed, which migrates successfully RDB into OWL document. The experimental
results were very important, demonstrating that the proposed method is feasible
and efficient.","Noreddine Gherabi, Khaoula Addakiri, Mohamed Bahaj","Discovering new technique for mapping relational database based on
  semantic web technology. Most of data on the Web are still stored in relational databases. Therefore,
it is more important to make the correspondence between relational databases
(RDB) and ontologies for storing the Web data. In this paper, we present an new
approach to map the data stored in relational databases into the Semantic Web,
we exploit simple mappings based on some specifications of the database schema,
and we explain how relational databases can be used to define a mapping
mechanism between relational database and OWL ontology. A framework has been
developed, which migrates successfully RDB into OWL document. The experimental
results were very important, demonstrating that the proposed method is feasible
and efficient.","Relational Database, OWL, Semantic Web"
GRAD: On Graph Database Modeling,"Graph databases have emerged as the fundamental technology underpinning
trendy application domains where traditional databases are not well-equipped to
handle complex graph data. However, current graph databases support basic graph
structures and integrity constraints with no standard algebra. In this paper,
we introduce GRAD, a native and generic graph database model. GRAD goes beyond
traditional graph database models, which support simple graph structures and
constraints. Instead, GRAD presents a complete graph database model supporting
advanced graph structures, a set of well-defined constraints over these
structures and a powerful graph analysis-oriented algebra.","Amine Ghrab, Oscar Romero, Sabri Skhiri, Alejandro Vaisman, Esteban Zimányi","GRAD: On Graph Database Modeling. Graph databases have emerged as the fundamental technology underpinning
trendy application domains where traditional databases are not well-equipped to
handle complex graph data. However, current graph databases support basic graph
structures and integrity constraints with no standard algebra. In this paper,
we introduce GRAD, a native and generic graph database model. GRAD goes beyond
traditional graph database models, which support simple graph structures and
constraints. Instead, GRAD presents a complete graph database model supporting
advanced graph structures, a set of well-defined constraints over these
structures and a powerful graph analysis-oriented algebra.","GRAD, Graph Database Modeling, Graph Structures, Integrity Constraints"
"A Systematic Method for On-The-Fly Denormalization of Relational
  Databases","Normalized relational databases are a common method for storing data, but
pulling out usable denormalized data for consumption generally requires either
direct access to the source data or creation of an appropriate view or table by
a database administrator. End-users are thus limited in their ability to
explore and use data that is stored in this manner. Presented here is a method
for performing automated denormalization of relational databases at run-time,
without requiring access to source data or ongoing intervention by a database
administrator. Furthermore, this method does not require a restructure of the
database itself and so it can be flexibly applied as a layer on top of already
existing databases.",Sareen Shah,"A Systematic Method for On-The-Fly Denormalization of Relational
  Databases. Normalized relational databases are a common method for storing data, but
pulling out usable denormalized data for consumption generally requires either
direct access to the source data or creation of an appropriate view or table by
a database administrator. End-users are thus limited in their ability to
explore and use data that is stored in this manner. Presented here is a method
for performing automated denormalization of relational databases at run-time,
without requiring access to source data or ongoing intervention by a database
administrator. Furthermore, this method does not require a restructure of the
database itself and so it can be flexibly applied as a layer on top of already
existing databases.","Denormalization, Relational Databases, Automation"
An Overview on Cloud Distributed Databases for Business Environments,"Cloud-based distributed databases are a popular choice for many current
applications, especially those that run over the Internet. By incorporating
distributed database systems within cloud environments, it has enabled
businesses to scale operations to a global level, all while achieving desired
standards of system reliability, availability, and responsiveness. Cloud
providers offer infrastructure and management tools for distributed databases
as Database-as-a-Service (DBaaS), re-purposing the investment by businesses
towards database services. This paper reviews the functionality of these
services, by highlighting Amazon Relational Data Service (RDS), suited for
handling relational distributed databases.","Allan Vikiru, Mfadhili Muiruri, Ismail Ateya","An Overview on Cloud Distributed Databases for Business Environments. Cloud-based distributed databases are a popular choice for many current
applications, especially those that run over the Internet. By incorporating
distributed database systems within cloud environments, it has enabled
businesses to scale operations to a global level, all while achieving desired
standards of system reliability, availability, and responsiveness. Cloud
providers offer infrastructure and management tools for distributed databases
as Database-as-a-Service (DBaaS), re-purposing the investment by businesses
towards database services. This paper reviews the functionality of these
services, by highlighting Amazon Relational Data Service (RDS), suited for
handling relational distributed databases.","Cloud Distributed Databases, Amazon, Relational Data Service, DBaaS"
Trustworthy and Efficient LLMs Meet Databases,"In the rapidly evolving AI era with large language models (LLMs) at the core,
making LLMs more trustworthy and efficient, especially in output generation
(inference), has gained significant attention. This is to reduce plausible but
faulty LLM outputs (a.k.a hallucinations) and meet the highly increased
inference demands. This tutorial explores such efforts and makes them
transparent to the database community. Understanding these efforts is essential
in harnessing LLMs in database tasks and adapting database techniques to LLMs.
Furthermore, we delve into the synergy between LLMs and databases, highlighting
new opportunities and challenges in their intersection. This tutorial aims to
share with database researchers and practitioners essential concepts and
strategies around LLMs, reduce the unfamiliarity of LLMs, and inspire joining
in the intersection between LLMs and databases.","Kyoungmin Kim, Anastasia Ailamaki","Trustworthy and Efficient LLMs Meet Databases. In the rapidly evolving AI era with large language models (LLMs) at the core,
making LLMs more trustworthy and efficient, especially in output generation
(inference), has gained significant attention. This is to reduce plausible but
faulty LLM outputs (a.k.a hallucinations) and meet the highly increased
inference demands. This tutorial explores such efforts and makes them
transparent to the database community. Understanding these efforts is essential
in harnessing LLMs in database tasks and adapting database techniques to LLMs.
Furthermore, we delve into the synergy between LLMs and databases, highlighting
new opportunities and challenges in their intersection. This tutorial aims to
share with database researchers and practitioners essential concepts and
strategies around LLMs, reduce the unfamiliarity of LLMs, and inspire joining
in the intersection between LLMs and databases.","LLMs, Databases, Large Language Models, AI"
The Causality/Repair Connection in Databases: Causality-Programs,"In this work, answer-set programs that specify repairs of databases are used
as a basis for solving computational and reasoning problems about causes for
query answers from databases.",Leopoldo Bertossi,"The Causality/Repair Connection in Databases: Causality-Programs. In this work, answer-set programs that specify repairs of databases are used
as a basis for solving computational and reasoning problems about causes for
query answers from databases.","Causality, Repair, Databases"
"Incremental View Maintenance for Deductive Graph Databases Using
  Generalized Discrimination Networks","Nowadays, graph databases are employed when relationships between entities
are in the scope of database queries to avoid performance-critical join
operations of relational databases. Graph queries are used to query and modify
graphs stored in graph databases. Graph queries employ graph pattern matching
that is NP-complete for subgraph isomorphism. Graph database views can be
employed that keep ready answers in terms of precalculated graph pattern
matches for often stated and complex graph queries to increase query
performance. However, such graph database views must be kept consistent with
the graphs stored in the graph database.
  In this paper, we describe how to use incremental graph pattern matching as
technique for maintaining graph database views. We present an incremental
maintenance algorithm for graph database views, which works for imperatively
and declaratively specified graph queries. The evaluation shows that our
maintenance algorithm scales when the number of nodes and edges stored in the
graph database increases. Furthermore, our evaluation shows that our approach
can outperform existing approaches for the incremental maintenance of graph
query results.","Thomas Beyhl, Holger Giese","Incremental View Maintenance for Deductive Graph Databases Using
  Generalized Discrimination Networks. Nowadays, graph databases are employed when relationships between entities
are in the scope of database queries to avoid performance-critical join
operations of relational databases. Graph queries are used to query and modify
graphs stored in graph databases. Graph queries employ graph pattern matching
that is NP-complete for subgraph isomorphism. Graph database views can be
employed that keep ready answers in terms of precalculated graph pattern
matches for often stated and complex graph queries to increase query
performance. However, such graph database views must be kept consistent with
the graphs stored in the graph database.
  In this paper, we describe how to use incremental graph pattern matching as
technique for maintaining graph database views. We present an incremental
maintenance algorithm for graph database views, which works for imperatively
and declaratively specified graph queries. The evaluation shows that our
maintenance algorithm scales when the number of nodes and edges stored in the
graph database increases. Furthermore, our evaluation shows that our approach
can outperform existing approaches for the incremental maintenance of graph
query results.","Incremental View Maintenance, Deductive Graph Databases, Generalized Discrimination Networks, Graph Pattern Matching"
"Belnap-Dunn logic and query answering in inconsistent databases with
  null values","This paper concerns an expansion of first-order Belnap-Dunn logic, named
$\mathrm{BD}^{\supset,\mathsf{F}}$, and an application of this logic in the
area of relational database theory. The notion of a relational database, the
notion of a query applicable to a relational database, and several notions of
an answer to a query with respect to a relational database are considered from
the perspective of this logic, taking into account that a database may be an
inconsistent database or a database with null values. The chosen perspective
enables among other things the definition of a notion of a consistent answer to
a query with respect to a possibly inconsistent database without resort to
database repairs. For each of the notions of an answer considered, being an
answer to a query with respect to a database of the kind considered is
decidable.",C. A. Middelburg,"Belnap-Dunn logic and query answering in inconsistent databases with
  null values. This paper concerns an expansion of first-order Belnap-Dunn logic, named
$\mathrm{BD}^{\supset,\mathsf{F}}$, and an application of this logic in the
area of relational database theory. The notion of a relational database, the
notion of a query applicable to a relational database, and several notions of
an answer to a query with respect to a relational database are considered from
the perspective of this logic, taking into account that a database may be an
inconsistent database or a database with null values. The chosen perspective
enables among other things the definition of a notion of a consistent answer to
a query with respect to a possibly inconsistent database without resort to
database repairs. For each of the notions of an answer considered, being an
answer to a query with respect to a database of the kind considered is
decidable.","Belnap-Dunn Logic, Relational Database, Null Values"
Database Dependencies and Formal Concept Analysis,"This is an account of the characterization of database dependencies with
Formal Concept Analysis.",Jaume Baixeries,"Database Dependencies and Formal Concept Analysis. This is an account of the characterization of database dependencies with
Formal Concept Analysis.","Database Dependencies, Formal Concept Analysis"
"Extensible Database Simulator for Fast Prototyping In-Database
  Algorithms","With the rapid increasing of data scale, in-database analytics and learning
has become one of the most studied topics in data science community, because of
its significance on reducing the gap between the management and the analytics
of data. By extending the capability of database on analytics and learning,
data scientists can save much time on exchanging data between databases and
external analytic tools. For this goal, researchers are attempting to integrate
more data science algorithms into database. However, implementing the
algorithms in mainstream databases is super time-consuming, especially when it
is necessary to have a deep dive into the database kernels. Thus there are
demands for an easy-to-extend database simulator to help fast prototype and
verify the in-database algorithms before implementing them in real databases.
In this demo, we present such an extensible relational database simulator,
DBSim, to help data scientists prototype their in-database analytics and
learning algorithms and verify the effectiveness of their ideas with minimal
cost. DBSim simulates a real relational database by integrating all the major
components in mainstream RDBMS, including SQL parser, relational operators,
query optimizer, etc. In addition, DBSim provides various interfaces for users
to flexibly plug their custom extension modules into any of the major
components, without modifying the kernel. By those interfaces, DBSim supports
easy extensions on SQL syntax, relational operators, query optimizer rules and
cost models, and physical plan execution. Furthermore, DBSim provides utilities
to facilitate users' developing and debugging, like query plan visualizer and
interactive analyzer on optimization rules. We develop DBSim using pure Python
to support seamless implementation of most data science algorithms into it,
since many of them are written in Python.","Yifan Wang, Daisy Zhe Wang","Extensible Database Simulator for Fast Prototyping In-Database
  Algorithms. With the rapid increasing of data scale, in-database analytics and learning
has become one of the most studied topics in data science community, because of
its significance on reducing the gap between the management and the analytics
of data. By extending the capability of database on analytics and learning,
data scientists can save much time on exchanging data between databases and
external analytic tools. For this goal, researchers are attempting to integrate
more data science algorithms into database. However, implementing the
algorithms in mainstream databases is super time-consuming, especially when it
is necessary to have a deep dive into the database kernels. Thus there are
demands for an easy-to-extend database simulator to help fast prototype and
verify the in-database algorithms before implementing them in real databases.
In this demo, we present such an extensible relational database simulator,
DBSim, to help data scientists prototype their in-database analytics and
learning algorithms and verify the effectiveness of their ideas with minimal
cost. DBSim simulates a real relational database by integrating all the major
components in mainstream RDBMS, including SQL parser, relational operators,
query optimizer, etc. In addition, DBSim provides various interfaces for users
to flexibly plug their custom extension modules into any of the major
components, without modifying the kernel. By those interfaces, DBSim supports
easy extensions on SQL syntax, relational operators, query optimizer rules and
cost models, and physical plan execution. Furthermore, DBSim provides utilities
to facilitate users' developing and debugging, like query plan visualizer and
interactive analyzer on optimization rules. We develop DBSim using pure Python
to support seamless implementation of most data science algorithms into it,
since many of them are written in Python.","DBSim, Database Simulator, In-Database Analytics, Learning Algorithms, Python"
